FishInfoID,Year,Field ID,Vessel,Set ID,Site,Collection Date,LONDM,LATDD,LONDD,Depth (m),Fork Length (cm),Wt (kg),Sex,Otolith Num,FC Num,Field Notes,Species,Collection,On-Target Reads,% GT,hybridclass,Genetic Notes,Age (years)
2161,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.814,34.393933,119.980233,76.9,27,0.33,Female,V0014,X0786,,vermilion,V-C,60433,98.46,,,
2196,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.814,34.3941,119.980233,81.1,33,0.69,Female,V0003,X0775,,vermilion,V-C,56894,98.97,,,5
2200,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.814,34.3941,119.980233,81.1,36,0.86,Male,V0001,X0773,,vermilion,V-C,62550,98.46,,,5
2202,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.814,34.3941,119.980233,81.1,30,0.53,Female,V0002,X0774,,vermilion,V-C,67635,93.85,,,
2205,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.814,34.3941,119.980233,81.1,29,0.48,Male,V0010,X0782,,vermilion,V-C,73760,82.56,,,5
2215,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.806,34.39415,119.9801,81.1,32,0.61,Male,V0009,X0781,,vermilion,V-C,63866,97.44,,,5
2216,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.806,34.39415,119.9801,81.1,35,0.78,Male,V0011,X0783,,vermilion,V-C,66369,95.38,,,5
2217,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.806,34.39415,119.9801,81.1,35,0.73,Female,V0012,X0784,,vermilion,V-C,71034,98.46,,,5
2218,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.806,34.39415,119.9801,81.1,33,0.67,Female,V0006,X0778,,vermilion,V-C,62621,97.95,,,5
2220,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.805,34.39415,119.980083,82.4,32,0.6,Male,V0005,X0777,,vermilion,V-C,60658,98.97,,,5
2224,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.805,34.39415,119.980083,82.4,31,0.57,Male,V0004,X0776,,vermilion,V-C,63272,99.49,,,5
2230,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.805,34.39415,119.980083,82.4,33,0.71,Female,V0013,X0785,,vermilion,V-C,63299,98.97,,,5
2231,2004,Vermilion Rockfish,Aggressor,04-01-05-002,189,11/10/2004,119 58.805,34.39415,119.980083,82.4,35,0.95,Female,V0007,X0779,,vermilion,V-C,69172,96.92,,,
2255,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,36,0.74,Male,V0039,V0408,,vermilion,V-B,58822,98.97,,,5
2258,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,44,1.54,Male,V0035,V0404,,vermilion,V-C,61215,98.97,,,
2260,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,36,0.87,Male,V0022,V0391,,vermilion,V-B,74445,98.46,,,5
2261,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,40,1.15,Male,V0021,V0390,,sunset,S,58398,98.46,,,5
2262,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,38,0.93,Male,V0019,V0388,,sunset,S,55615,98.46,,,5
2263,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,44,1.47,Male,V0027,V0396,,vermilion,V-C,61291,98.97,,,7
2265,2004,Vermilion Rockfish,Aggressor,04-01-05-003,197,11/10/2004,120 12.895,34.429617,120.214917,71.2,44,1.66,Female,V0029,V0398,,vermilion,V-C,61922,98.97,,,8
