FishInfoID,Year,Field ID,Vessel,Vessel_Abbreviated,Set ID,Site,Collection Date,LATDD,LONDD,Depth (m),Fork Length (cm),Wt (kg),Sex,Otolith Num,FC Num,Field Notes,Species,Collection,On-Target Reads,% GT,Genetic Notes,PacFIN_Species_Code,Age (years),Wgt_g,L_or_R,FT_NIR_ID,Scanned,picname,Image_taken,folder,cal,Image_Notes,Caliper_length_mm,Caliper_width_mm,Caliper_thickness_mm,ImageJ_sulcus_width_pix_mm,ImageJ_length_pix_mm,ImageJ_width_pix_mm
2313,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-004,151,38301,34.46625,120.62455,111.6,46,1.71,Male,V0043,V0412,,vermilion,V-C,63757,97.44,,VRML,8,0.3726,R,2004AG-V0043-VRML,FALSE,2004AG-V0043-VRML,TRUE,VRML,147,,17.8,8.55,2.36,1.2501,16.5769,7.9649
2318,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-004,151,38301,34.46625,120.62455,111.6,46,1.98,Female,V0046,V0415,,vermilion,V-C,60036,98.46,,VRML,11,0.383,R,2004AG-V0046-VRML,FALSE,2004AG-V0046-VRML,TRUE,VRML,147,,17.86,8.9,1.93,1.3814,16.6936,7.9619
2327,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-004,151,38301,34.466167,120.624567,112.5,46,1.89,Male,V0051,V0420,,vermilion,V-C,62008,98.97,,VRML,16,0.4628,R,2004AG-V0051-VRML,FALSE,2004AG-V0051-VRML,TRUE,VRML,147,,18.98,9.13,2.28,1.1925,17.9254,8.7133
2333,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-006,149,38302,34.468683,120.62835,113.5,46,1.57,Male,V0056,V0425,,vermilion,V-C,59953,98.46,,VRML,8,0.4099,R,2004AG-V0056-VRML,FALSE,2004AG-V0056-VRML,TRUE,VRML,147,,17.79,9.12,2.37,1.289,16.7886,7.5799
2356,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-006,149,38302,34.468333,120.628383,113.5,46,1.53,Male,V0064,V0433,,sunset,S,57345,98.97,,SUNS,7,0.3585,R,2004AG-V0064-SUNS,FALSE,2004AG-V0064-SUNS,TRUE,SUNS,147,,17.38,8.45,2.16,0.9425,16.4055,7.7115
2526,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-008,140,38302,34.5048,120.691533,100.7,46,1.6,Male,V0088,V0457,,vermilion,V-C,49812,98.97,,VRML,8,0.412,R,2004AG-V0088-VRML,FALSE,2004AG-V0088-VRML,TRUE,VRML,147,,18.04,9.44,2.22,1.0192,17.0009,8.9231
2532,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-008,140,38302,34.5048,120.691533,100.7,46,1.82,Female,V0099,V0468,,vermilion,V-C,64937,98.46,,VRML,10,0.3544,R,2004AG-V0099-VRML,FALSE,2004AG-V0099-VRML,TRUE,VRML,147,,17.39,8.91,2.06,1.5588,16.3917,7.9044
2529,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-008,140,38302,34.5048,120.691533,100.7,46,1.58,Female,V0100,V0469,,vermilion,V-C,66599,98.97,,VRML,8,0.3388,R,2004AG-V0100-VRML,FALSE,2004AG-V0100-VRML,TRUE,VRML,147,,16.22,8.79,2.01,0.7405,15.3897,8.3969
2571,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-009,139,38302,34.529033,120.719133,102.5,46,1.67,Female,V0107,V0476,,vermilion,V-C,62387,97.95,,VRML,10,0.4057,R,2004AG-V0107-VRML,FALSE,2004AG-V0107-VRML,TRUE,VRML,147,,18.85,8.3,2.21,1.1925,17.7308,8.7121
2564,2004,Vermilion Rockfish,Aggressor,AG,04-01-05-009,139,38302,34.52895,120.7194,98.8,46,1.67,Male,V0114,V0483,,vermilion,V-C,59562,97.44,,VRML,10,0.4365,R,2004AG-V0114-VRML,FALSE,2004AG-V0114-VRML,TRUE,VRML,147,,18.01,10.06,2.45,1.0977,17.0264,9.1958
